Reporting Year,2021,,,,,,,Report Generated:,2025-01-27,
Store,East,,,,,,,Count of Sales:,40,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
757,2021-12-25,5,1,4,ID010003,995.4,0,995,2021-02-12,995
773,2021-12-01,15,1,4,ID010077,494.5,0.1,445,2020-12-27,445
789,2021-11-24,6,4,8,ID010069,995.2,0.15,846,2021-01-20,846
805,2021-11-12,5,4,4,ID010064,995.4,0.1,896,2021-01-27,896
813,2021-11-06,17,3,4,ID010083,487.4,0.05,463,2021-02-07,463
845,2021-10-11,5,1,4,ID010095,995.4,0.05,946,2020-11-03,946
853,2021-10-07,1,0,4,ID010045,495.4,0.1,446,2020-12-20,446
861,2021-10-01,6,3,8,ID010053,995.2,0,995,2020-11-05,995
762,2021-09-20,3,1,8,ID010036,495.9,0.05,471,2020-10-24,471
766,2021-09-13,1,5,4,ID010015,495.4,0.1,446,2020-12-02,446
885,2021-09-13,3,3,4,ID010035,495.9,0.1,446,2020-10-16,446
897,2021-09-05,5,0,4,ID010061,995.4,0.05,946,2020-09-24,946
925,2021-08-20,6,3,8,ID010036,995.2,-0.05,1045,2020-10-24,1045
957,2021-08-04,10,3,8,ID010099,981.6,-0.05,1031,2020-10-05,1031
822,2021-08-03,10,1,8,ID010061,981.6,0.05,933,2020-10-28,933
759,2021-07-25,2,4,4,ID010010,997.4,-0.05,1047,2020-09-23,1047
767,2021-07-13,8,2,8,ID010001,1838.4,-0.05,1930,2020-09-16,1930
819,2021-06-06,1,1,4,ID010014,495.4,0,495,2020-08-29,495
902,2021-06-05,6,0,4,ID010044,995.2,0.05,945,2020-08-25,945
776,2021-06-02,2,0,8,ID010064,997.4,0,997,2020-08-17,997
792,2021-05-27,4,4,8,ID010016,1479.6,0.15,1258,2020-07-09,1258
812,2021-05-12,1,4,8,ID010071,495.4,-0.05,520,2020-07-27,520
970,2021-04-23,8,0,4,ID010034,1838.4,0.1,1655,2020-07-01,1655
879,2021-04-18,1,5,8,ID010036,495.4,-0.05,520,2020-06-18,520
852,2021-04-10,15,1,8,ID010040,494.5,0.1,445,2020-05-21,445
990,2021-04-07,3,3,8,ID010062,495.9,-0.05,521,2020-06-23,521
903,2021-04-05,21,4,4,ID010032,1831.5,0.1,1648,2020-06-06,1648
911,2021-03-30,12,3,8,ID010095,977.4,0.05,929,2020-07-02,929
923,2021-03-23,15,0,8,ID010010,494.5,0.1,445,2020-06-08,445
935,2021-03-17,1,3,8,ID010052,495.4,0,495,2020-06-03,495
912,2021-02-28,3,5,8,ID010058,495.9,0.1,446,2020-05-01,446
940,2021-02-12,12,4,8,ID010087,977.4,0.1,880,2020-04-18,880
952,2021-02-07,10,2,4,ID010087,981.6,-0.05,1031,2020-04-07,1031
972,2021-01-21,5,5,8,ID010030,995.4,0.05,946,2020-02-27,946
984,2021-01-13,9,3,4,ID010083,488.1,0.1,439,2020-04-17,439
988,2021-01-09,1,4,4,ID010080,495.4,-0.05,520,2020-02-26,520
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
