Reporting Year,2022,,,,,,,Report Generated:,2025-01-27,
Store,South,,,,,,,Count of Sales:,56,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
521,2022-12-14,6,3,2,ID010038,995.2,-0.05,1045,2022-01-19,1045
545,2022-11-28,13,2,3,ID010058,1899.2,0.05,1804,2022-01-23,1804
589,2022-10-28,2,0,3,ID010009,997.4,0,997,2022-01-26,997
613,2022-10-05,19,0,2,ID010022,1862,-0.05,1955,2021-11-23,1955
514,2022-09-20,10,1,3,ID010075,981.6,0.1,883,2021-11-14,878
633,2022-09-14,2,4,2,ID010008,997.4,0.1,898,2021-11-24,898
550,2022-08-27,6,4,2,ID010039,995.2,0.1,896,2021-11-09,896
913,2022-08-26,2,0,3,ID010035,997.4,0.1,898,2021-10-08,883
794,2022-08-24,4,5,2,ID010047,1479.6,0.05,1406,2021-09-11,1376
566,2022-08-13,1,1,3,ID010078,495.4,-0.05,520,2021-09-16,520
810,2022-08-13,3,4,3,ID010017,495.9,0.1,446,2021-10-01,446
570,2022-08-10,16,1,2,ID010052,1485.3,-0.05,1560,2021-09-05,1560
594,2022-07-27,10,0,2,ID010029,981.6,0,982,2021-08-22,982
602,2022-07-17,3,0,2,ID010068,495.9,0.15,422,2021-08-19,418
523,2022-07-16,2,5,2,ID010100,997.4,0.05,948,2021-09-07,945
527,2022-07-14,1,4,2,ID010097,495.4,0.15,421,2021-09-02,418
733,2022-07-12,1,2,2,ID010057,495.4,0.1,446,2021-09-30,438
737,2022-07-08,5,3,2,ID010086,995.4,0.15,846,2021-07-26,832
614,2022-07-07,6,4,2,ID010065,995.2,0.05,945,2021-07-28,945
504,2022-06-29,17,2,2,ID010046,487.4,-0.05,512,2021-09-04,512
512,2022-06-22,5,1,2,ID010064,995.4,0.1,896,2021-07-08,896
559,2022-06-19,2,1,3,ID010008,997.4,0.1,898,2021-08-03,898
890,2022-06-11,2,1,2,ID010001,997.4,0.1,898,2021-07-30,889
536,2022-06-09,6,3,3,ID010010,995.2,0,995,2021-07-17,986
544,2022-06-03,7,2,3,ID010086,495,0.05,470,2021-07-22,470
784,2022-05-29,17,2,3,ID010084,487.4,0,487,2021-08-15,487
599,2022-05-25,5,3,3,ID010035,995.4,-0.05,1045,2021-08-04,1033
670,2022-05-23,6,1,3,ID010045,995.2,-0.05,1045,2021-06-27,1045
564,2022-05-16,1,2,2,ID010030,495.4,-0.05,520,2021-06-05,520
851,2022-05-11,3,2,3,ID010011,495.9,0,496,2021-06-24,496
942,2022-05-11,13,4,3,ID010046,1899.2,0.05,1804,2021-07-04,1778
576,2022-05-10,4,2,2,ID010054,1479.6,-0.05,1554,2021-07-16,1533
623,2022-04-28,2,3,2,ID010098,997.4,0.1,898,2021-07-07,893
718,2022-04-22,6,3,3,ID010030,995.2,0.05,945,2021-05-18,945
631,2022-04-19,4,1,3,ID010060,1479.6,0.15,1258,2021-07-16,1254
604,2022-04-15,2,2,3,ID010039,997.4,0.15,848,2021-06-10,838
734,2022-04-12,2,5,3,ID010074,997.4,0.05,948,2021-05-24,934
651,2022-04-10,1,2,3,ID010054,495.4,0.1,446,2021-04-29,444
667,2022-03-26,5,3,3,ID010034,995.4,0.1,896,2021-04-23,896
632,2022-03-20,1,1,2,ID010042,495.4,0.1,446,2021-06-23,446
939,2022-03-14,1,1,3,ID010007,495.4,-0.05,520,2021-04-27,520
652,2022-03-10,2,4,2,ID010009,997.4,-0.05,1047,2021-05-20,1047
695,2022-03-05,6,4,2,ID010022,995.2,0.05,945,2021-03-20,945
731,2022-02-13,4,3,3,ID010009,1479.6,0.05,1406,2021-04-11,1406
747,2022-01-31,16,5,3,ID010099,1485.3,0.1,1337,2021-05-04,1337
999,2022-01-30,10,3,3,ID010079,981.6,0.1,883,2021-03-27,883
724,2022-01-19,10,1,3,ID010082,981.6,0,982,2021-04-19,982
744,2022-01-02,2,0,2,ID010094,997.4,0,997,2021-01-25,997
921,2022-08-21,4,1,2,ID010009,1479.6,0,1480,2021-11-24,1480
953,2022-08-06,4,3,2,ID010071,1479.6,-0.05,1554,2021-10-12,1554
989,2022-07-06,2,5,2,ID010088,997.4,-0.05,1047,2021-09-21,1047
791,2022-06-27,2,5,2,ID010050,997.4,0,997,2021-09-09,997
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
