Reporting Year,2023,,,,,,,Report Generated:,2025-01-27,
Store,North,,,,,,,Count of Sales:,61,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
1,2023-12-27,1,2,1,ID010090,495.4,0,495,2023-01-11,255
289,2023-12-04,5,2,5,ID010015,995.4,-0.05,1045,2023-01-03,387
297,2023-11-29,15,0,1,ID010028,494.5,0.1,445,2023-01-31,232
309,2023-11-18,6,0,1,ID010011,995.2,0.15,846,2023-01-23,846
313,2023-11-16,4,2,5,ID010014,1479.6,0,1480,2023-02-16,1480
337,2023-10-22,10,5,5,ID010089,981.6,0,982,2022-11-06,982
361,2023-10-09,1,3,5,ID010045,495.4,0,495,2022-11-07,495
369,2023-10-03,17,5,5,ID010074,487.4,0.15,414,2022-10-23,414
254,2023-09-24,16,5,5,ID010018,1485.3,-0.05,1560,2022-10-26,1560
258,2023-09-23,2,5,5,ID010076,997.4,0,997,2022-11-06,948
266,2023-09-20,20,4,5,ID010061,467.9,0.15,398,2022-10-15,398
518,2023-09-18,3,3,5,ID010067,495.9,0.05,471,2022-11-02,471
18,2023-09-13,3,0,5,ID010009,495.9,0.15,422,2022-11-21,422
649,2023-09-08,4,2,1,ID010003,1479.6,0.1,1332,2022-11-08,1332
290,2023-09-05,2,4,1,ID010069,997.4,0,997,2022-11-19,997
30,2023-09-01,2,0,5,ID010037,997.4,-0.05,1047,2022-10-01,1047
421,2023-08-25,14,2,1,ID010032,870.8,0,871,2022-11-24,871
425,2023-08-24,5,4,1,ID010083,995.4,0.05,946,2022-11-08,589
453,2023-08-06,20,5,5,ID010054,467.9,-0.05,491,2022-08-31,381
457,2023-08-02,7,5,5,ID010010,495,0,495,2022-10-27,428
330,2023-07-28,2,1,1,ID010022,997.4,0,997,2022-10-04,642
709,2023-07-26,10,2,1,ID010048,981.6,0.05,933,2022-08-23,315
338,2023-07-24,8,4,5,ID010033,1838.4,0.05,1746,2022-10-24,1700
465,2023-07-24,6,2,5,ID010089,995.2,0.05,945,2022-10-23,945
342,2023-07-21,14,3,5,ID010052,870.8,0.1,784,2022-08-14,784
469,2023-07-21,1,4,5,ID010094,495.4,0.1,446,2022-09-15,446
299,2023-07-02,5,0,5,ID010063,995.4,0.05,946,2022-07-28,591
386,2023-06-25,1,2,1,ID010014,495.4,0.05,471,2022-07-28,471
319,2023-06-13,10,1,5,ID010046,981.6,0.1,883,2022-07-12,709
414,2023-06-03,6,2,5,ID010053,995.2,0.1,896,2022-08-19,896
327,2023-06-01,14,1,5,ID010037,870.8,-0.05,914,2022-08-10,914
591,2023-05-30,1,3,1,ID010022,495.4,0.1,446,2022-06-17,273
44,2023-05-28,3,4,1,ID010087,495.9,0.15,422,2022-08-31,386
560,2023-05-20,6,0,5,ID010080,995.2,0,995,2022-08-02,763
316,2023-05-17,2,3,1,ID010008,997.4,0.1,898,2022-07-24,898
186,2023-05-14,1,3,5,ID010005,495.4,-0.05,520,2022-07-10,520
375,2023-05-03,17,0,1,ID010045,487.4,0.1,439,2022-07-04,373
198,2023-05-02,5,5,5,ID010012,995.4,0.15,846,2022-07-12,846
387,2023-04-25,16,3,5,ID010087,1485.3,0.1,1337,2022-06-21,1001
348,2023-04-20,6,2,1,ID010097,995.2,0.1,896,2022-06-15,878
352,2023-04-17,4,0,5,ID010082,1479.6,0.1,1332,2022-05-21,1332
608,2023-04-14,10,1,5,ID010038,981.6,0.15,834,2022-07-06,818
159,2023-04-11,5,3,1,ID010092,995.4,0,995,2022-04-27,995
372,2023-04-05,6,2,1,ID010059,995.2,0.1,896,2022-05-09,891
415,2023-04-04,15,3,1,ID010059,494.5,-0.05,519,2022-06-22,515
659,2023-04-03,5,1,1,ID010047,995.4,0.15,846,2022-06-18,846
388,2023-03-26,17,4,1,ID010024,487.4,0.1,439,2022-06-22,435
412,2023-03-06,10,2,5,ID010086,981.6,0,982,2022-05-27,980
459,2023-03-03,3,4,1,ID010093,495.9,0.05,471,2022-05-26,466
711,2023-02-26,16,0,5,ID010022,1485.3,0.05,1411,2022-03-14,1411
715,2023-02-22,15,4,1,ID010098,494.5,0.15,420,2022-05-16,420
471,2023-02-21,9,3,1,ID010036,488.1,0.15,415,2022-03-16,415
432,2023-02-20,4,4,1,ID010073,1479.6,0.15,1258,2022-04-17,1258
727,2023-02-15,1,2,5,ID010066,495.4,0,495,2022-05-11,495
487,2023-02-08,1,4,5,ID010020,495.4,-0.05,520,2022-04-13,518
491,2023-02-06,6,3,1,ID010085,995.2,0,995,2022-03-31,995
716,2023-01-23,1,3,5,ID010039,495.4,0.05,471,2022-03-11,471
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
