Reporting Year,2025,,,,,,,Report Generated:,2025-01-30,
Store,North,,,,,,,Count of Sales:,41,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
5,2025-06-24,1,0,1,ID010047,495.4,0.1,446,2024-03-12,446
509,2025-06-20,1,1,1,ID010079,495.4,0,495,2024-01-08,422
13,2025-06-15,2,4,5,ID010040,997.4,0.15,848,2024-01-20,848
293,2025-06-02,3,4,1,ID010008,495.9,0.15,422,2024-01-30,322
33,2025-05-30,1,4,1,ID010026,495.4,0.15,421,2024-01-11,327
549,2025-05-25,3,4,1,ID010034,495.9,-0.05,521,2023-12-12,491
57,2025-05-15,2,4,5,ID010082,997.4,0,997,2024-02-15,997
65,2025-05-09,5,4,5,ID010027,995.4,0.15,846,2023-12-22,846
333,2025-04-23,1,4,1,ID010072,495.4,-0.05,520,2023-11-10,486
93,2025-04-17,2,1,5,ID010062,997.4,0.05,948,2023-12-21,948
97,2025-04-14,7,3,1,ID010025,495,0.1,446,2023-11-15,414
353,2025-04-13,2,3,1,ID010055,997.4,-0.05,1047,2023-12-06,997
101,2025-04-12,5,4,1,ID010074,995.4,0.05,946,2023-12-27,855
113,2025-04-06,1,1,5,ID010031,495.4,0.15,421,2023-11-02,421
137,2025-03-27,2,1,1,ID010096,997.4,0.1,898,2023-12-24,898
141,2025-03-25,12,4,5,ID010013,977.4,-0.05,1026,2023-10-30,975
14,2025-03-17,1,3,5,ID010002,495.4,0,495,2023-11-07,495
270,2025-03-16,10,1,1,ID010007,981.6,0.15,834,2023-11-21,834
153,2025-03-14,5,0,1,ID010034,995.4,0.15,846,2023-12-17,605
542,2025-03-03,4,2,5,ID010022,1479.6,0.05,1406,2023-10-16,1214
38,2025-02-26,14,0,1,ID010021,870.8,0.05,827,2023-09-17,607
50,2025-02-20,10,4,1,ID010032,981.6,0.15,834,2023-11-03,656
433,2025-02-14,2,4,5,ID010099,997.4,0.05,948,2023-10-13,725
322,2025-02-01,4,4,1,ID010065,1479.6,0.05,1406,2023-09-29,1406
74,2025-01-31,1,5,1,ID010018,495.4,0.15,421,2023-10-09,368
197,2025-01-30,5,0,5,ID010068,995.4,-0.05,1045,2023-09-16,1025
82,2025-01-28,4,4,1,ID010063,1479.6,0,1480,2023-09-01,1337
209,2025-01-24,10,3,1,ID010030,981.6,0.1,883,2023-10-21,883
15,2025-01-16,15,5,5,ID010096,494.5,0.05,470,2023-09-30,470
221,2025-01-16,4,5,5,ID010023,1479.6,0.1,1332,2023-08-31,1332
225,2025-01-14,7,4,1,ID010046,495,-0.05,520,2023-08-27,508
354,2025-01-11,8,4,5,ID010045,1838.4,0,1838,2023-08-13,1640
106,2025-01-10,15,2,1,ID010071,494.5,-0.05,519,2023-09-17,519
485,2025-01-07,1,4,5,ID010004,495.4,0,495,2023-08-22,495
118,2025-01-05,17,4,5,ID010080,487.4,-0.05,512,2023-08-28,512
122,2025-01-03,10,2,5,ID010081,981.6,0.05,933,2023-08-13,926
237,2025-01-03,4,3,5,ID010098,1479.6,-0.05,1554,2023-09-11,1148
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
