Reporting Year,2025,,,,,,,Report Generated:,2025-01-30,
Store,West,,,,,,,Count of Sales:,34,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
17,2025-06-12,5,3,6,ID010048,995.4,0.15,846,2024-03-05,654
277,2025-06-09,4,3,6,ID010033,1479.6,-0.05,1554,2024-02-08,1554
21,2025-06-08,2,2,6,ID010089,997.4,-0.05,1047,2024-01-15,805
29,2025-05-30,6,5,7,ID010055,995.2,0,995,2023-12-26,995
61,2025-05-12,1,3,7,ID010016,495.4,0.05,471,2023-12-05,436
321,2025-05-03,2,1,6,ID010022,997.4,0.1,898,2023-12-10,888
77,2025-04-30,6,1,6,ID010058,995.2,0.1,896,2023-12-12,647
105,2025-04-11,10,2,7,ID010088,981.6,0.15,834,2023-12-14,686
145,2025-03-22,1,0,7,ID010028,495.4,0.05,471,2023-10-26,453
10,2025-03-21,5,2,6,ID010043,995.4,-0.05,1045,2023-11-04,820
161,2025-03-04,13,1,6,ID010026,1899.2,0.05,1804,2023-11-20,1804
294,2025-03-02,5,4,7,ID010037,995.4,0.15,846,2023-11-11,846
413,2025-03-02,3,3,7,ID010058,495.9,0.1,446,2023-11-01,343
169,2025-02-24,6,3,6,ID010021,995.2,0.1,896,2023-11-20,896
42,2025-02-23,15,1,6,ID010006,494.5,0.05,470,2023-09-12,370
177,2025-02-19,5,0,6,ID010070,995.4,0,995,2023-10-10,926
558,2025-02-16,3,5,7,ID010036,495.9,0.05,471,2023-10-19,471
181,2025-02-10,2,3,7,ID010063,997.4,0.1,898,2023-09-21,898
193,2025-02-02,5,1,6,ID010026,995.4,0.1,896,2023-10-10,741
86,2025-01-25,8,4,7,ID010056,1838.4,0.05,1746,2023-09-11,1746
507,2025-01-24,17,3,6,ID010097,487.4,0,487,2023-08-18,381
7,2025-01-23,4,0,7,ID010040,1479.6,0.05,1406,2023-10-29,1406
267,2025-01-18,16,0,7,ID010001,1485.3,0.05,1411,2023-10-13,1411
519,2025-01-14,16,4,7,ID010073,1485.3,-0.05,1560,2023-08-05,1560
102,2025-01-11,6,5,7,ID010050,995.2,0,995,2023-10-06,718
606,2025-01-10,4,2,6,ID010026,1479.6,0.1,1332,2023-10-08,1332
110,2025-01-08,6,2,6,ID010065,995.2,0.05,945,2023-08-27,945
539,2025-01-05,5,4,6,ID010060,995.4,0,995,2023-08-07,977
493,2025-01-02,4,5,6,ID010034,1479.6,0.05,1406,2023-08-02,1406
126,2025-01-01,4,1,7,ID010066,1479.6,0.15,1258,2023-08-13,1258
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
