Reporting Year,2021,,,,,,,Report Generated:,2025-01-27,
Store,North,,,,,,,Count of Sales:,47,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
761,2021-12-20,6,2,5,ID010052,995.2,0.05,945,2021-01-11,945
797,2021-11-20,2,5,5,ID010054,997.4,0.15,848,2021-02-21,848
849,2021-10-09,8,4,1,ID010041,1838.4,0.15,1563,2020-12-20,1563
873,2021-09-19,6,2,1,ID010015,995.2,-0.05,1045,2020-12-22,1045
778,2021-08-30,10,5,5,ID010022,981.6,0.1,883,2020-10-23,883
905,2021-08-30,16,0,5,ID010031,1485.3,0.1,1337,2020-10-09,1337
755,2021-07-28,10,2,5,ID010079,981.6,0.15,834,2020-09-28,834
842,2021-07-14,5,1,1,ID010078,995.4,-0.05,1045,2020-09-15,1045
846,2021-07-13,1,4,1,ID010022,495.4,-0.05,520,2020-09-18,520
993,2021-07-04,4,1,1,ID010053,1479.6,0.05,1406,2020-09-22,1406
862,2021-07-03,3,1,1,ID010027,495.9,0.1,446,2020-09-27,446
752,2021-06-29,7,3,5,ID010072,495,0.1,446,2020-08-24,446
756,2021-06-28,10,0,1,ID010085,981.6,0.1,883,2020-07-20,883
866,2021-06-28,2,1,1,ID010027,997.4,0,997,2020-09-07,997
787,2021-06-27,15,4,1,ID010095,494.5,0.05,470,2020-07-14,470
795,2021-06-25,3,0,1,ID010069,495.9,-0.05,521,2020-07-21,521
764,2021-06-21,6,3,1,ID010038,995.2,0.15,846,2020-07-15,846
811,2021-06-14,5,5,1,ID010062,995.4,-0.05,1045,2020-08-10,1045
772,2021-06-08,10,1,5,ID010056,981.6,-0.05,1031,2020-07-19,1031
823,2021-06-04,6,4,5,ID010014,995.2,0,995,2020-07-31,995
910,2021-05-30,1,3,1,ID010085,495.4,0.15,421,2020-08-28,421
831,2021-05-29,10,1,5,ID010022,981.6,0.15,834,2020-08-20,834
788,2021-05-28,13,3,1,ID010032,1899.2,0,1899,2020-08-05,1899
800,2021-05-21,8,0,5,ID010086,1838.4,0.1,1655,2020-07-02,1655
934,2021-05-18,5,2,5,ID010004,995.4,-0.05,1045,2020-06-27,1045
843,2021-05-15,4,2,1,ID010009,1479.6,-0.05,1554,2020-07-15,1554
950,2021-05-08,5,0,1,ID010020,995.4,-0.05,1045,2020-07-26,1045
855,2021-05-07,4,1,1,ID010031,1479.6,-0.05,1554,2020-07-30,1554
954,2021-05-07,1,1,1,ID010037,495.4,0,495,2020-06-01,495
820,2021-05-06,1,3,1,ID010089,495.4,0.1,446,2020-05-24,446
828,2021-05-03,4,1,5,ID010011,1479.6,0.1,1332,2020-06-01,1332
962,2021-05-01,2,2,1,ID010003,997.4,0.05,948,2020-05-20,948
883,2021-04-16,2,2,1,ID010018,997.4,0,997,2020-06-22,997
978,2021-04-16,10,0,1,ID010010,981.6,-0.05,1031,2020-06-22,1031
891,2021-04-12,17,0,1,ID010091,487.4,0.1,439,2020-05-06,439
907,2021-04-01,17,2,1,ID010028,487.4,0.15,414,2020-06-12,414
998,2021-04-01,2,0,1,ID010009,997.4,0.1,898,2020-05-17,898
919,2021-03-25,5,5,1,ID010054,995.4,0,995,2020-05-05,995
884,2021-03-17,1,3,5,ID010007,495.4,0,495,2020-05-07,495
955,2021-03-07,2,1,5,ID010080,997.4,0.05,948,2020-05-07,948
920,2021-02-22,4,4,5,ID010099,1479.6,0.05,1406,2020-04-11,1406
960,2021-02-02,4,3,5,ID010063,1479.6,0,1480,2020-03-04,1480
968,2021-01-25,3,4,5,ID010057,495.9,0.1,446,2020-02-20,446
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
