Reporting Year,2023,,,,,,,Report Generated:,2025-01-27,
Store,West,,,,,,,Count of Sales:,85,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
257,2023-12-22,6,1,6,ID010039,995.2,0,995,2023-02-08,787
269,2023-12-17,2,5,6,ID010071,997.4,0.05,948,2023-03-12,439
285,2023-12-07,3,2,6,ID010030,495.9,-0.05,521,2023-02-24,325
537,2023-12-06,12,4,7,ID010096,977.4,0.05,929,2023-03-01,929
565,2023-11-12,5,1,7,ID010091,995.4,0.15,846,2023-01-26,204
573,2023-11-07,2,2,6,ID010012,997.4,0.05,948,2023-01-19,671
325,2023-10-30,16,5,7,ID010087,1485.3,-0.05,1560,2023-01-23,1560
85,2023-10-27,8,5,6,ID010075,1838.4,0.15,1563,2022-12-23,1563
341,2023-10-20,3,4,7,ID010053,495.9,0.15,422,2022-11-29,422
605,2023-10-12,6,3,7,ID010093,995.2,0.05,945,2023-01-06,945
357,2023-10-10,6,4,6,ID010005,995.2,0.05,945,2023-01-03,827
117,2023-10-06,2,2,7,ID010097,997.4,0.05,948,2022-10-23,799
6,2023-09-25,2,4,6,ID010045,997.4,-0.05,1047,2022-12-03,1047
385,2023-09-23,3,5,6,ID010044,495.9,-0.05,521,2022-11-13,342
298,2023-08-31,1,2,7,ID010080,495.4,0.05,471,2022-11-14,471
302,2023-08-29,1,3,6,ID010018,495.4,0,495,2022-10-13,254
665,2023-08-23,1,0,6,ID010004,495.4,0.1,446,2022-10-25,446
306,2023-08-21,1,3,7,ID010078,495.4,0.15,421,2022-09-25,331
673,2023-08-20,4,4,6,ID010007,1479.6,0.1,1332,2022-09-11,1029
318,2023-08-13,3,3,7,ID010088,495.9,-0.05,521,2022-09-01,521
66,2023-08-10,6,4,6,ID010047,995.2,-0.05,1045,2022-09-02,712
445,2023-08-10,1,3,6,ID010007,495.4,0,495,2022-09-15,414
578,2023-08-06,1,1,6,ID010064,495.4,0.15,421,2022-09-17,281
201,2023-07-30,1,1,7,ID010076,495.4,0,495,2022-09-11,495
251,2023-07-30,1,5,6,ID010005,495.4,0.1,446,2022-09-16,446
255,2023-07-25,4,2,6,ID010029,1479.6,0,1480,2022-09-24,1163
11,2023-07-23,1,2,7,ID010037,495.4,0.05,471,2022-08-11,471
477,2023-07-18,10,4,7,ID010004,981.6,-0.05,1031,2022-08-25,328
98,2023-07-16,2,5,7,ID010094,997.4,0,997,2022-09-19,931
729,2023-07-15,11,0,7,ID010081,1462.2,-0.05,1535,2022-09-24,1437
362,2023-07-11,12,3,6,ID010082,977.4,0.1,880,2022-09-27,880
233,2023-07-09,14,0,7,ID010087,870.8,0.05,827,2022-08-22,708
287,2023-07-09,3,5,7,ID010039,495.9,0.05,471,2022-08-22,259
489,2023-07-08,7,1,6,ID010038,495,0,495,2022-09-17,360
366,2023-07-07,11,1,7,ID010083,1462.2,0.1,1316,2022-08-18,1316
543,2023-07-05,10,2,6,ID010013,981.6,0.1,883,2022-09-20,883
741,2023-07-04,1,2,6,ID010009,495.4,0.05,471,2022-07-27,454
374,2023-07-03,6,0,6,ID010054,995.2,0.1,896,2022-08-06,689
252,2023-06-30,6,3,7,ID010035,995.2,0.05,945,2022-07-23,697
749,2023-06-29,9,0,7,ID010076,488.1,0.05,464,2022-09-26,464
146,2023-06-22,5,4,6,ID010016,995.4,0,995,2022-09-16,611
