Reporting Year,2024,,,,,,,Report Generated:,2025-01-27,
Store,South,,,,,,,Count of Sales:,88,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
253,2024-12-23,2,2,2,ID010094,997.4,0,997,2024-01-10,820
9,2024-12-19,3,0,3,ID010087,495.9,0.05,471,2024-01-20,424
41,2024-11-24,8,3,2,ID010027,1838.4,0.05,1746,2024-02-28,1715
45,2024-11-22,3,1,3,ID010099,495.9,-0.05,521,2024-01-02,521
53,2024-11-17,3,5,3,ID010024,495.9,0.1,446,2024-02-14,446
69,2024-11-04,5,2,2,ID010038,995.4,-0.05,1045,2024-01-25,1015
81,2024-10-28,3,2,3,ID010038,495.9,0.05,471,2024-01-26,419
89,2024-10-21,2,3,2,ID010015,997.4,0.15,848,2023-11-15,848
365,2024-10-05,11,2,3,ID010069,1462.2,0.1,1316,2023-10-21,1283
121,2024-10-03,2,5,2,ID010080,997.4,0.1,898,2023-11-24,898
125,2024-10-02,10,4,2,ID010040,981.6,0.1,883,2023-12-17,839
621,2024-09-26,7,1,3,ID010028,495,-0.05,520,2023-11-24,505
149,2024-09-19,1,2,3,ID010075,495.4,-0.05,520,2023-11-16,520
393,2024-09-18,1,5,2,ID010069,495.4,0.1,446,2023-12-17,446
22,2024-09-07,8,3,3,ID010014,1838.4,0,1838,2023-09-23,1838
26,2024-09-05,5,4,2,ID010029,995.4,0.15,846,2023-10-02,693
54,2024-08-19,6,3,2,ID010092,995.2,0,995,2023-11-15,806
437,2024-08-14,4,5,2,ID010029,1479.6,0,1480,2023-09-15,1480
185,2024-08-11,1,2,3,ID010100,495.4,0.05,471,2023-09-12,375
189,2024-08-10,4,2,2,ID010001,1479.6,0.1,1332,2023-10-19,985
693,2024-08-06,2,4,2,ID010020,997.4,0.15,848,2023-10-30,848
326,2024-07-30,10,5,2,ID010084,981.6,-0.05,1031,2023-08-19,1031
3,2024-07-28,1,3,3,ID010025,495.4,-0.05,520,2023-10-24,520
461,2024-07-27,3,5,3,ID010023,495.9,0,496,2023-08-22,496
213,2024-07-24,16,3,2,ID010085,1485.3,0.15,1263,2023-09-21,1263
90,2024-07-23,3,1,3,ID010073,495.9,0,496,2023-10-27,369
263,2024-07-22,1,0,2,ID010066,495.4,0.05,471,2023-10-08,427
94,2024-07-18,6,5,2,ID010063,995.2,0.1,896,2023-10-06,896
473,2024-07-18,8,4,2,ID010060,1838.4,0.1,1655,2023-09-16,1655
19,2024-07-14,18,3,2,ID010029,902.4,0.05,857,2023-09-17,795
229,2024-07-12,13,3,3,ID010096,1899.2,0.15,1614,2023-10-13,1403
27,2024-07-07,6,3,2,ID010058,995.2,0,995,2023-07-23,995
35,2024-06-30,3,2,3,ID010046,495.9,0.15,422,2023-09-03,422
249,2024-06-29,16,3,3,ID010004,1485.3,0.15,1263,2023-08-31,1147
134,2024-06-28,5,4,2,ID010041,995.4,0.1,896,2023-08-20,896
47,2024-06-25,4,2,2,ID010067,1479.6,0.1,1332,2023-07-13,1042
55,2024-06-19,9,1,3,ID010055,488.1,0.1,439,2023-07-24,333
311,2024-06-19,19,1,3,ID010017,1862,0.05,1769,2023-08-25,1510
20,2024-06-12,12,2,2,ID010048,977.4,0.1,880,2023-08-29,689
158,2024-06-11,6,5,2,ID010049,995.2,0.15,846,2023-07-06,780
24,2024-06-08,7,3,3,ID010043,495,0,495,2023-09-04,365
75,2024-06-03,12,2,2,ID010075,977.4,0.15,831,2023-08-13,675
32,2024-06-02,6,5,3,ID010008,995.2,0.1,896,2023-07-04,693
583,2024-06-02,10,5,3,ID010008,981.6,0.1,883,2023-07-28,883
335,2024-05-25,10,5,3,ID010029,981.6,-0.05,1031,2023-07-10,1031
304,2024-05-25,1,1,3,ID010027,495.4,0,495,2023-07-26,470
666,2024-05-24,4,1,3,ID010006,1479.6,0.05,1406,2023-07-18,1406
60,2024-05-15,6,3,3,ID010059,995.2,0.1,896,2023-06-10,795
438,2024-05-15,2,2,3,ID010005,997.4,-0.05,1047,2023-06-28,944
182,2024-05-14,6,5,2,ID010097,995.2,-0.05,1045,2023-07-01,1045
107,2024-05-12,10,5,3,ID010041,981.6,0.15,834,2023-08-03,834
190,2024-05-12,10,0,3,ID010039,981.6,0.1,883,2023-08-04,739
68,2024-05-08,2,1,2,ID010045,997.4,0.1,898,2023-07-31,779
194,2024-05-05,10,2,3,ID010015,981.6,0.05,933,2023-06-30,933
88,2024-04-24,1,2,3,ID010073,495.4,0.05,471,2023-06-17,364
478,2024-04-18,6,0,3,ID010057,995.2,0.1,896,2023-06-05,703
104,2024-04-14,7,3,3,ID010020,495,0,495,2023-04-30,495
230,2024-04-13,15,0,3,ID010063,494.5,0.05,470,2023-06-10,456
108,2024-04-12,6,4,2,ID010083,995.2,0.15,846,2023-05-20,846
116,2024-04-08,3,5,2,ID010061,495.9,0.05,471,2023-07-01,428
234,2024-04-08,1,1,2,ID010088,495.4,0.1,446,2023-04-25,446
120,2024-04-07,5,5,2,ID010036,995.4,0,995,2023-06-26,709
128,2024-04-04,4,5,3,ID010063,1479.6,0.1,1332,2023-06-21,1332
246,2024-04-02,3,2,3,ID010022,495.9,0.05,471,2023-04-27,409
250,2024-03-30,3,3,3,ID010011,495.9,0.05,471,2023-07-01,228
144,2024-03-25,5,1,3,ID010090,995.4,0.05,946,2023-05-01,946
152,2024-03-17,11,1,3,ID010097,1462.2,-0.05,1535,2023-04-28,1535
187,2024-03-14,3,0,3,ID010099,495.9,0.05,471,2023-05-03,471
404,2024-03-12,2,4,3,ID010065,997.4,0.1,898,2023-05-11,898
