Reporting Year,2025,,,,,,,Report Generated:,2025-01-30,
Store,East,,,,,,,Count of Sales:,31,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
265,2025-06-18,4,4,4,ID010013,1479.6,0.1,1332,2024-03-21,1011
37,2025-05-28,7,4,8,ID010079,495,0.15,421,2024-02-01,421
49,2025-05-22,6,2,4,ID010042,995.2,0,995,2023-12-09,995
73,2025-05-01,9,4,4,ID010081,488.1,-0.05,513,2023-12-17,466
585,2025-04-29,3,3,8,ID010036,495.9,0.15,422,2023-12-05,422
109,2025-04-08,4,3,4,ID010003,1479.6,0.05,1406,2023-12-11,1406
373,2025-04-01,5,3,4,ID010054,995.4,0.15,846,2023-12-21,846
129,2025-03-30,5,4,4,ID010066,995.4,-0.05,1045,2023-11-06,1045
133,2025-03-28,2,0,4,ID010037,997.4,0.05,948,2023-12-31,948
2,2025-03-27,11,4,4,ID010067,1462.2,0.05,1389,2023-11-27,1036
262,2025-03-21,10,5,8,ID010090,981.6,0.05,933,2023-10-28,766
526,2025-03-13,5,0,8,ID010003,995.4,0.15,846,2023-10-21,830
157,2025-03-11,8,0,4,ID010065,1838.4,0.05,1746,2023-11-07,1746
286,2025-03-08,1,3,4,ID010064,495.4,0.15,421,2023-10-27,379
165,2025-02-28,10,5,8,ID010034,981.6,0,982,2023-11-25,718
34,2025-02-27,2,0,8,ID010081,997.4,0.15,848,2023-11-30,848
46,2025-02-22,2,4,4,ID010029,997.4,0,997,2023-11-25,997
173,2025-02-21,2,5,8,ID010099,997.4,0,997,2023-11-27,997
58,2025-02-13,10,2,8,ID010087,981.6,0.1,883,2023-09-22,883
62,2025-02-09,3,0,8,ID010025,495.9,0,496,2023-09-26,496
70,2025-02-02,3,2,4,ID010054,495.9,0.1,446,2023-09-02,446
78,2025-01-30,9,2,8,ID010095,488.1,-0.05,513,2023-09-14,365
205,2025-01-26,16,4,8,ID010077,1485.3,0.15,1263,2023-10-12,971
217,2025-01-19,4,1,4,ID010030,1479.6,-0.05,1554,2023-10-06,1458
23,2025-01-07,6,3,4,ID010074,995.2,-0.05,1045,2023-08-22,1045
114,2025-01-05,2,1,8,ID010074,997.4,0.05,948,2023-09-05,917
370,2025-01-01,15,2,8,ID010026,494.5,0.05,470,2023-10-02,470
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
