Reporting Year,2022,,,,,,,Report Generated:,2025-01-27,
Store,East,,,,,,,Count of Sales:,59,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
517,2022-12-18,8,0,8,ID010033,1838.4,0.1,1655,2022-01-30,1629
557,2022-11-20,3,4,8,ID010007,495.9,-0.05,521,2022-02-02,521
561,2022-11-14,5,0,4,ID010086,995.4,0.15,846,2022-02-16,846
569,2022-11-10,5,5,8,ID010034,995.4,0.05,946,2021-12-21,946
581,2022-11-01,1,0,8,ID010039,495.4,0.1,446,2022-02-02,437
593,2022-10-26,11,4,4,ID010079,1462.2,0.05,1389,2022-01-14,1389
758,2022-09-24,2,3,8,ID010073,997.4,0,997,2021-11-25,997
530,2022-09-09,15,4,4,ID010006,494.5,0.1,445,2021-10-24,437
893,2022-09-09,4,3,8,ID010024,1479.6,0.1,1332,2021-10-04,1321
770,2022-09-08,5,0,4,ID010004,995.4,0.15,846,2021-11-01,831
546,2022-08-30,2,0,8,ID010088,997.4,-0.05,1047,2021-10-07,1044
661,2022-08-28,13,5,4,ID010024,1899.2,0.1,1709,2021-11-18,1675
681,2022-08-14,13,4,8,ID010067,1899.2,0.15,1614,2021-10-01,1614
574,2022-08-08,4,5,8,ID010095,1479.6,0.1,1332,2021-10-09,1316
582,2022-08-03,8,4,4,ID010081,1838.4,0,1838,2021-10-14,1821
511,2022-07-23,6,0,4,ID010025,995.2,0.1,896,2021-10-05,887
717,2022-07-21,11,3,4,ID010038,1462.2,0.1,1316,2021-10-06,1295
725,2022-07-18,6,2,4,ID010022,995.2,0,995,2021-09-03,995
981,2022-07-14,5,2,8,ID010014,995.4,0,995,2021-08-30,995
535,2022-07-09,2,2,4,ID010031,997.4,0.1,898,2021-09-08,898
618,2022-07-01,13,5,8,ID010075,1899.2,0.05,1804,2021-09-06,1801
745,2022-07-01,6,2,8,ID010099,995.2,0.15,846,2021-09-22,846
622,2022-06-27,1,4,4,ID010095,495.4,0.1,446,2021-08-07,444
520,2022-06-17,5,3,8,ID010037,995.4,-0.05,1045,2021-07-31,1045
524,2022-06-16,15,1,8,ID010005,494.5,0.15,420,2021-09-19,419
563,2022-06-16,6,0,8,ID010069,995.2,-0.05,1045,2021-08-30,1045
567,2022-06-14,3,5,8,ID010063,495.9,-0.05,521,2021-07-22,516
540,2022-06-08,16,4,4,ID010010,1485.3,0.15,1263,2021-06-26,1258
654,2022-06-06,1,0,4,ID010028,495.4,0,495,2021-07-17,490
658,2022-06-02,4,5,8,ID010051,1479.6,0.05,1406,2021-08-26,1406
548,2022-05-30,3,3,4,ID010025,495.9,0.05,471,2021-08-24,468
556,2022-05-24,3,1,4,ID010023,495.9,0,496,2021-07-20,496
835,2022-05-20,7,4,4,ID010018,495,0.15,421,2021-06-18,412
702,2022-04-30,8,0,4,ID010065,1838.4,0.15,1563,2021-07-16,1563
710,2022-04-27,1,3,8,ID010095,495.4,-0.05,520,2021-07-21,520
726,2022-04-17,12,1,4,ID010091,977.4,0.15,831,2021-05-23,831
643,2022-04-14,1,2,8,ID010061,495.4,0,495,2021-07-09,485
746,2022-04-02,2,1,4,ID010032,997.4,0.05,948,2021-05-05,946
864,2022-04-02,18,1,8,ID010018,902.4,0.15,767,2021-06-10,767
750,2022-03-31,5,1,8,ID010054,995.4,0,995,2021-06-01,993
640,2022-03-16,1,2,8,ID010024,495.4,0.15,421,2021-05-10,421
683,2022-03-15,3,0,8,ID010089,495.9,0,496,2021-04-25,496
687,2022-03-13,4,0,8,ID010003,1479.6,0.1,1332,2021-06-08,1332
963,2022-03-01,3,4,4,ID010007,495.9,0.15,422,2021-03-25,422
664,2022-02-25,2,0,4,ID010061,997.4,0.05,948,2021-03-22,948
916,2022-02-25,5,1,4,ID010054,995.4,-0.05,1045,2021-05-16,1045
672,2022-02-21,6,0,8,ID010081,995.2,0.1,896,2021-05-23,896
719,2022-02-20,4,5,4,ID010020,1479.6,0.15,1258,2021-03-10,1258
680,2022-02-16,3,3,4,ID010080,495.9,0.05,471,2021-05-05,471
743,2022-02-03,2,0,4,ID010014,997.4,-0.05,1047,2021-03-18,1047
704,2022-01-30,1,3,8,ID010048,495.4,0.1,446,2021-04-29,446
769,2022-12-08,1,5,4,ID010080,495.4,0.1,446,2022-02-16,446
865,2022-09-27,10,0,8,ID010019,981.6,-0.05,1031,2021-11-10,1031
930,2022-05-19,3,0,4,ID010070,495.9,0.1,446,2021-08-05,446
880,2022-03-19,12,3,4,ID010067,977.4,0.05,929,2021-06-11,929
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
