Reporting Year,2023,,,,,,,Report Generated:,2025-01-27,
Store,South,,,,,,,Count of Sales:,70,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
501,2023-12-27,1,2,3,ID010033,495.4,0.15,421,2023-01-13,299
525,2023-12-12,3,2,3,ID010020,495.9,0.05,471,2023-02-25,471
281,2023-12-08,5,4,2,ID010064,995.4,-0.05,1045,2023-02-22,1045
301,2023-11-28,4,3,3,ID010010,1479.6,-0.05,1554,2023-02-15,1554
305,2023-11-19,9,4,3,ID010062,488.1,0.1,439,2023-02-12,401
345,2023-10-18,1,1,2,ID010056,495.4,0,495,2022-11-09,495
349,2023-10-16,6,5,2,ID010085,995.2,0,995,2022-12-10,516
609,2023-10-09,20,1,2,ID010054,467.9,0.1,421,2023-01-09,411
381,2023-09-25,11,5,2,ID010065,1462.2,0.15,1243,2022-11-07,700
389,2023-09-20,3,0,3,ID010100,495.9,0.05,471,2022-11-07,184
397,2023-09-16,1,2,3,ID010059,495.4,-0.05,520,2022-10-24,414
278,2023-09-10,2,4,3,ID010039,997.4,0,997,2022-10-03,556
405,2023-09-09,5,0,2,ID010061,995.4,0,995,2022-10-21,436
409,2023-09-03,10,2,2,ID010067,981.6,0.15,834,2022-11-05,834
334,2023-07-26,1,5,3,ID010045,495.4,0.15,421,2022-09-21,421
259,2023-07-25,13,2,3,ID010033,1899.2,0.05,1804,2022-09-19,600
515,2023-07-21,14,5,3,ID010005,870.8,-0.05,914,2022-10-22,424
350,2023-07-18,2,3,2,ID010062,997.4,0.15,848,2022-08-06,761
271,2023-07-16,21,1,2,ID010008,1831.5,-0.05,1923,2022-10-16,1023
481,2023-07-15,5,0,3,ID010047,995.4,0.1,896,2022-09-16,292
275,2023-07-14,5,4,2,ID010081,995.4,0,995,2022-09-02,995
279,2023-07-12,4,2,2,ID010025,1479.6,0.15,1258,2022-10-07,620
291,2023-07-06,9,0,3,ID010011,488.1,0.15,415,2022-09-18,306
307,2023-06-21,5,0,2,ID010006,995.4,0.15,846,2022-09-17,846
315,2023-06-17,5,1,2,ID010036,995.4,0,995,2022-07-06,995
402,2023-06-13,10,0,3,ID010035,981.6,0.1,883,2022-07-30,883
280,2023-06-12,17,4,3,ID010020,487.4,-0.05,512,2022-07-22,395
406,2023-06-11,9,5,2,ID010058,488.1,-0.05,513,2022-08-04,513
292,2023-06-06,10,5,2,ID010027,981.6,0.05,933,2022-07-28,436
28,2023-06-04,12,2,2,ID010035,977.4,0.05,929,2022-07-08,629
418,2023-05-31,9,3,2,ID010002,488.1,-0.05,513,2022-08-27,513
331,2023-05-29,2,2,3,ID010057,997.4,0,997,2022-08-15,835
422,2023-05-27,4,4,2,ID010040,1479.6,0.05,1406,2022-07-31,1406
308,2023-05-22,16,5,2,ID010092,1485.3,0,1485,2022-07-13,1268
347,2023-05-20,1,5,3,ID010033,495.4,-0.05,520,2022-08-23,299
446,2023-05-11,14,2,2,ID010095,870.8,0.1,784,2022-06-29,719
363,2023-05-10,6,3,3,ID010077,995.2,0,995,2022-07-24,995
450,2023-05-09,4,3,3,ID010043,1479.6,0.15,1258,2022-06-25,1258
123,2023-05-07,1,5,3,ID010019,495.4,0,495,2022-06-14,298
371,2023-05-05,2,0,2,ID010056,997.4,0,997,2022-06-29,997
328,2023-05-02,6,0,3,ID010082,995.2,0,995,2022-05-23,797
588,2023-05-01,4,0,2,ID010033,1479.6,0,1480,2022-06-21,1480
336,2023-04-26,5,2,3,ID010008,995.4,0,995,2022-05-27,995
600,2023-04-23,11,2,3,ID010062,1462.2,0.1,1316,2022-05-21,1316
403,2023-04-14,12,3,2,ID010021,977.4,-0.05,1026,2022-05-02,1010
482,2023-04-13,5,5,2,ID010027,995.4,0.1,896,2022-07-17,896
498,2023-03-31,13,3,2,ID010046,1899.2,0.1,1709,2022-05-28,1709
171,2023-03-29,11,4,2,ID010058,1462.2,0.15,1243,2022-05-18,1243
427,2023-03-27,3,5,3,ID010097,495.9,0,496,2022-05-19,496
392,2023-03-23,10,0,3,ID010019,981.6,0.15,834,2022-06-02,834
156,2023-03-16,1,0,2,ID010032,495.4,0.1,446,2022-06-18,443
455,2023-03-09,1,3,3,ID010083,495.4,0,495,2022-04-11,491
896,2023-03-09,2,4,3,ID010006,997.4,0,997,2022-03-24,997
408,2023-03-07,10,3,2,ID010013,981.6,0.15,834,2022-03-29,834
416,2023-03-05,1,3,3,ID010086,495.4,0,495,2022-04-11,489
420,2023-02-26,1,2,3,ID010034,495.4,0.15,421,2022-05-14,421
463,2023-02-24,5,5,2,ID010089,995.4,0.15,846,2022-04-23,846
436,2023-02-17,6,4,3,ID010054,995.2,-0.05,1045,2022-04-29,1045
231,2023-02-12,3,4,3,ID010023,495.9,0.05,471,2022-04-07,471
452,2023-02-08,6,0,2,ID010028,995.2,-0.05,1045,2022-03-19,1045
200,2023-01-31,10,3,2,ID010068,981.6,0,982,2022-05-04,977
468,2023-01-22,6,1,3,ID010072,995.2,0.05,945,2022-03-21,926
472,2023-01-20,1,2,2,ID010074,495.4,0.05,471,2022-02-11,471
480,2023-01-16,7,2,2,ID010014,495,0.15,421,2022-03-20,413
492,2023-01-06,15,5,3,ID010088,494.5,0,495,2022-04-03,495
496,2023-01-01,1,3,2,ID010095,495.4,-0.05,520,2022-02-07,511
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
